ticker,bench,events_total,days_with_entry,advanced_events_total,stack_POST1_best_long_rate,stack_POST1_best_long_total,stack_POST1_best_long_lo,stack_POST1_best_long_hi,stack_POST1_best_long_avg_move,stack_POST1_best_short_rate,stack_POST1_best_short_total,stack_POST1_best_short_lo,stack_POST1_best_short_hi,stack_POST1_best_short_avg_move,stack_POST2_best_long_rate,stack_POST2_best_long_total,stack_POST2_best_long_lo,stack_POST2_best_long_hi,stack_POST2_best_long_avg_move,stack_POST2_best_short_rate,stack_POST2_best_short_total,stack_POST2_best_short_lo,stack_POST2_best_short_hi,stack_POST2_best_short_avg_move,stack_BLUE1_best_long_rate,stack_BLUE1_best_long_total,stack_BLUE1_best_long_lo,stack_BLUE1_best_long_hi,stack_BLUE1_best_long_avg_move,stack_BLUE1_best_short_rate,stack_BLUE1_best_short_total,stack_BLUE1_best_short_lo,stack_BLUE1_best_short_hi,stack_BLUE1_best_short_avg_move,stack_BLUE2_best_long_rate,stack_BLUE2_best_long_total,stack_BLUE2_best_long_lo,stack_BLUE2_best_long_hi,stack_BLUE2_best_long_avg_move,stack_BLUE2_best_short_rate,stack_BLUE2_best_short_total,stack_BLUE2_best_short_lo,stack_BLUE2_best_short_hi,stack_BLUE2_best_short_avg_move,stack_BLUE3_best_long_rate,stack_BLUE3_best_long_total,stack_BLUE3_best_long_lo,stack_BLUE3_best_long_hi,stack_BLUE3_best_long_avg_move,stack_BLUE3_best_short_rate,stack_BLUE3_best_short_total,stack_BLUE3_best_short_lo,stack_BLUE3_best_short_hi,stack_BLUE3_best_short_avg_move,devsig_POST1_best_long_rate,devsig_POST1_best_long_total,devsig_POST1_best_long_lo,devsig_POST1_best_long_hi,devsig_POST1_best_long_avg_move,devsig_POST1_best_short_rate,devsig_POST1_best_short_total,devsig_POST1_best_short_lo,devsig_POST1_best_short_hi,devsig_POST1_best_short_avg_move,devsig_POST2_best_long_rate,devsig_POST2_best_long_total,devsig_POST2_best_long_lo,devsig_POST2_best_long_hi,devsig_POST2_best_long_avg_move,devsig_POST2_best_short_rate,devsig_POST2_best_short_total,devsig_POST2_best_short_lo,devsig_POST2_best_short_hi,devsig_POST2_best_short_avg_move,devsig_BLUE1_best_long_rate,devsig_BLUE1_best_long_total,devsig_BLUE1_best_long_lo,devsig_BLUE1_best_long_hi,devsig_BLUE1_best_long_avg_move,devsig_BLUE1_best_short_rate,devsig_BLUE1_best_short_total,devsig_BLUE1_best_short_lo,devsig_BLUE1_best_short_hi,devsig_BLUE1_best_short_avg_move,devsig_BLUE2_best_long_rate,devsig_BLUE2_best_long_total,devsig_BLUE2_best_long_lo,devsig_BLUE2_best_long_hi,devsig_BLUE2_best_long_avg_move,devsig_BLUE2_best_short_rate,devsig_BLUE2_best_short_total,devsig_BLUE2_best_short_lo,devsig_BLUE2_best_short_hi,devsig_BLUE2_best_short_avg_move,devsig_BLUE3_best_long_rate,devsig_BLUE3_best_long_total,devsig_BLUE3_best_long_lo,devsig_BLUE3_best_long_hi,devsig_BLUE3_best_long_avg_move,devsig_BLUE3_best_short_rate,devsig_BLUE3_best_short_total,devsig_BLUE3_best_short_lo,devsig_BLUE3_best_short_hi,devsig_BLUE3_best_short_avg_move,bench_POST1_best_long_rate,bench_POST1_best_long_total,bench_POST1_best_long_lo,bench_POST1_best_long_hi,bench_POST1_best_long_avg_move,bench_POST1_best_short_rate,bench_POST1_best_short_total,bench_POST1_best_short_lo,bench_POST1_best_short_hi,bench_POST1_best_short_avg_move,bench_POST2_best_long_rate,bench_POST2_best_long_total,bench_POST2_best_long_lo,bench_POST2_best_long_hi,bench_POST2_best_long_avg_move,bench_POST2_best_short_rate,bench_POST2_best_short_total,bench_POST2_best_short_lo,bench_POST2_best_short_hi,bench_POST2_best_short_avg_move,bench_BLUE1_best_long_rate,bench_BLUE1_best_long_total,bench_BLUE1_best_long_lo,bench_BLUE1_best_long_hi,bench_BLUE1_best_long_avg_move,bench_BLUE1_best_short_rate,bench_BLUE1_best_short_total,bench_BLUE1_best_short_lo,bench_BLUE1_best_short_hi,bench_BLUE1_best_short_avg_move,bench_BLUE2_best_long_rate,bench_BLUE2_best_long_total,bench_BLUE2_best_long_lo,bench_BLUE2_best_long_hi,bench_BLUE2_best_long_avg_move,bench_BLUE2_best_short_rate,bench_BLUE2_best_short_total,bench_BLUE2_best_short_lo,bench_BLUE2_best_short_hi,bench_BLUE2_best_short_avg_move,bench_BLUE3_best_long_rate,bench_BLUE3_best_long_total,bench_BLUE3_best_long_lo,bench_BLUE3_best_long_hi,bench_BLUE3_best_long_avg_move,bench_BLUE3_best_short_rate,bench_BLUE3_best_short_total,bench_BLUE3_best_short_lo,bench_BLUE3_best_short_hi,bench_BLUE3_best_short_avg_move,adv_stack_POST1_best_long_rate,adv_stack_POST1_best_long_total,adv_stack_POST1_best_long_lo,adv_stack_POST1_best_long_hi,adv_stack_POST1_best_long_avg_move,adv_stack_POST1_best_short_rate,adv_stack_POST1_best_short_total,adv_stack_POST1_best_short_lo,adv_stack_POST1_best_short_hi,adv_stack_POST1_best_short_avg_move,adv_stack_POST2_best_long_rate,adv_stack_POST2_best_long_total,adv_stack_POST2_best_long_lo,adv_stack_POST2_best_long_hi,adv_stack_POST2_best_long_avg_move,adv_stack_POST2_best_short_rate,adv_stack_POST2_best_short_total,adv_stack_POST2_best_short_lo,adv_stack_POST2_best_short_hi,adv_stack_POST2_best_short_avg_move,adv_stack_BLUE1_best_long_rate,adv_stack_BLUE1_best_long_total,adv_stack_BLUE1_best_long_lo,adv_stack_BLUE1_best_long_hi,adv_stack_BLUE1_best_long_avg_move,adv_stack_BLUE1_best_short_rate,adv_stack_BLUE1_best_short_total,adv_stack_BLUE1_best_short_lo,adv_stack_BLUE1_best_short_hi,adv_stack_BLUE1_best_short_avg_move,adv_stack_BLUE2_best_long_rate,adv_stack_BLUE2_best_long_total,adv_stack_BLUE2_best_long_lo,adv_stack_BLUE2_best_long_hi,adv_stack_BLUE2_best_long_avg_move,adv_stack_BLUE2_best_short_rate,adv_stack_BLUE2_best_short_total,adv_stack_BLUE2_best_short_lo,adv_stack_BLUE2_best_short_hi,adv_stack_BLUE2_best_short_avg_move,adv_stack_BLUE3_best_long_rate,adv_stack_BLUE3_best_long_total,adv_stack_BLUE3_best_long_lo,adv_stack_BLUE3_best_long_hi,adv_stack_BLUE3_best_long_avg_move,adv_stack_BLUE3_best_short_rate,adv_stack_BLUE3_best_short_total,adv_stack_BLUE3_best_short_lo,adv_stack_BLUE3_best_short_hi,adv_stack_BLUE3_best_short_avg_move,adv_devsig_POST1_best_long_rate,adv_devsig_POST1_best_long_total,adv_devsig_POST1_best_long_lo,adv_devsig_POST1_best_long_hi,adv_devsig_POST1_best_long_avg_move,adv_devsig_POST1_best_short_rate,adv_devsig_POST1_best_short_total,adv_devsig_POST1_best_short_lo,adv_devsig_POST1_best_short_hi,adv_devsig_POST1_best_short_avg_move,adv_devsig_POST2_best_long_rate,adv_devsig_POST2_best_long_total,adv_devsig_POST2_best_long_lo,adv_devsig_POST2_best_long_hi,adv_devsig_POST2_best_long_avg_move,adv_devsig_POST2_best_short_rate,adv_devsig_POST2_best_short_total,adv_devsig_POST2_best_short_lo,adv_devsig_POST2_best_short_hi,adv_devsig_POST2_best_short_avg_move,adv_devsig_BLUE1_best_long_rate,adv_devsig_BLUE1_best_long_total,adv_devsig_BLUE1_best_long_lo,adv_devsig_BLUE1_best_long_hi,adv_devsig_BLUE1_best_long_avg_move,adv_devsig_BLUE1_best_short_rate,adv_devsig_BLUE1_best_short_total,adv_devsig_BLUE1_best_short_lo,adv_devsig_BLUE1_best_short_hi,adv_devsig_BLUE1_best_short_avg_move,adv_devsig_BLUE2_best_long_rate,adv_devsig_BLUE2_best_long_total,adv_devsig_BLUE2_best_long_lo,adv_devsig_BLUE2_best_long_hi,adv_devsig_BLUE2_best_long_avg_move,adv_devsig_BLUE2_best_short_rate,adv_devsig_BLUE2_best_short_total,adv_devsig_BLUE2_best_short_lo,adv_devsig_BLUE2_best_short_hi,adv_devsig_BLUE2_best_short_avg_move,adv_devsig_BLUE3_best_long_rate,adv_devsig_BLUE3_best_long_total,adv_devsig_BLUE3_best_long_lo,adv_devsig_BLUE3_best_long_hi,adv_devsig_BLUE3_best_long_avg_move,adv_devsig_BLUE3_best_short_rate,adv_devsig_BLUE3_best_short_total,adv_devsig_BLUE3_best_short_lo,adv_devsig_BLUE3_best_short_hi,adv_devsig_BLUE3_best_short_avg_move,adv_bench_POST1_best_long_rate,adv_bench_POST1_best_long_total,adv_bench_POST1_best_long_lo,adv_bench_POST1_best_long_hi,adv_bench_POST1_best_long_avg_move,adv_bench_POST1_best_short_rate,adv_bench_POST1_best_short_total,adv_bench_POST1_best_short_lo,adv_bench_POST1_best_short_hi,adv_bench_POST1_best_short_avg_move,adv_bench_POST2_best_long_rate,adv_bench_POST2_best_long_total,adv_bench_POST2_best_long_lo,adv_bench_POST2_best_long_hi,adv_bench_POST2_best_long_avg_move,adv_bench_POST2_best_short_rate,adv_bench_POST2_best_short_total,adv_bench_POST2_best_short_lo,adv_bench_POST2_best_short_hi,adv_bench_POST2_best_short_avg_move,adv_bench_BLUE1_best_long_rate,adv_bench_BLUE1_best_long_total,adv_bench_BLUE1_best_long_lo,adv_bench_BLUE1_best_long_hi,adv_bench_BLUE1_best_long_avg_move,adv_bench_BLUE1_best_short_rate,adv_bench_BLUE1_best_short_total,adv_bench_BLUE1_best_short_lo,adv_bench_BLUE1_best_short_hi,adv_bench_BLUE1_best_short_avg_move,adv_bench_BLUE2_best_long_rate,adv_bench_BLUE2_best_long_total,adv_bench_BLUE2_best_long_lo,adv_bench_BLUE2_best_long_hi,adv_bench_BLUE2_best_long_avg_move,adv_bench_BLUE2_best_short_rate,adv_bench_BLUE2_best_short_total,adv_bench_BLUE2_best_short_lo,adv_bench_BLUE2_best_short_hi,adv_bench_BLUE2_best_short_avg_move,adv_bench_BLUE3_best_long_rate,adv_bench_BLUE3_best_long_total,adv_bench_BLUE3_best_long_lo,adv_bench_BLUE3_best_long_hi,adv_bench_BLUE3_best_long_avg_move,adv_bench_BLUE3_best_short_rate,adv_bench_BLUE3_best_short_total,adv_bench_BLUE3_best_short_lo,adv_bench_BLUE3_best_short_hi,adv_bench_BLUE3_best_short_avg_move,corr,beta
A,XLV,3,61,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619,21,0.0,0.0,-1.1,,,,,,,,,,,,,,,,,,,,,0.7143,14,0.4,0.4,0.915,0.6154,26,-0.4,0.0,-1.1531,0.6818,22,0.4,0.8,1.2387,0.625,16,0.0,0.0,-1.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6458,48,-3.0,-3.0,0.9523,,,,,,0.6977,43,-3.0,-3.0,1.1627,0.6538,52,0.0,0.0,-1.0668,0.6111,18,-3.0,-3.0,1.4782,0.6667,27,0.0,0.0,-1.0267,,,,,,,,,,,,,,,,,,,,,0.3457,0.3369
AA,COPX,38,61,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9091,11,0.0,0.0,-1.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,10,-3.0,-3.0,3.99,,,,,,0.6139,101,0.0,3.0,1.3074,0.7143,28,-6.0,-6.0,-1.545,0.6154,13,-9.0,-9.0,2.0962,0.7917,24,-6.0,-6.0,-2.6074,0.6102,59,-3.0,-3.0,1.9764,0.7692,26,-6.0,-6.0,-2.368,0.6024,83,0.0,3.0,1.852,0.7692,13,-6.0,-6.0,-3.185,0.7867,75,-9.0,-3.0,3.5903,0.6667,81,0.0,3.0,-2.2685,0.6829,41,0.0,0.4,1.2075,0.7857,28,0.8,1.2,-1.1141,,,,,,0.7,20,0.8,0.8,-1.6871,0.6129,31,-1.6,-1.2,2.1384,0.7222,18,-0.8,-0.8,-1.4746,0.6486,37,-1.6,-0.8,2.0867,,,,,,,,,,,0.6364,11,-1.6,-1.6,-3.0929,0.75,40,3.0,3.0,1.0767,,,,,,0.7429,35,3.0,3.0,1.3515,0.6,20,-6.0,-6.0,-2.0258,0.6571,35,3.0,3.0,1.7374,,,,,,0.7015,67,0.0,3.0,1.9345,,,,,,0.7419,62,-6.0,-3.0,3.0591,,,,,,0.8156,0.6146
AAAU,IWM,29,61,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7857,14,-3.0,-3.0,1.8127,0.8182,11,0.0,0.0,-1.3656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,12,-3.0,-3.0,2.096,0.6875,16,0.0,0.0,-1.1964,0.7059,17,-3.0,-3.0,1.025,,,,,,0.64,25,-3.0,-3.0,1.19,,,,,,,,,,,0.6667,18,0.0,0.0,-1.0842,,,,,,0.6111,18,-3.0,-3.0,-1.3118,,,,,,0.72,25,0.0,0.0,-1.6961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6087,23,0.0,0.0,-1.1286,,,,,,,,,,,0.6429,14,-3.0,-3.0,2.0011,0.6774,31,0.0,0.0,-1.7319,0.3727,0.4881
AADX,NASA,10,42,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,16,-6.0,-6.0,-2.209,,,,,,,,,,,0.6207,29,-3.0,-3.0,3.7356,0.6667,12,-6.0,-6.0,-3.085,,,,,,0.6,10,0.0,0.0,-4.735,,,,,,,,,,,,,,,,,,,,,0.6,10,2.0,2.0,2.6767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,40,-3.0,-3.0,2.2232,,,,,,0.6087,23,-6.0,-6.0,2.0336,0.6296,27,0.0,0.0,-4.0065,0.8,10,3.0,3.0,3.3313,0.6087,23,0.0,0.0,-4.9643,,,,,,,,,,,,,,,,,,,,,0.3745,0.2033
AAL,IWM,40,61,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9091,11,-3.0,-3.0,2.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,10,0.0,0.0,-3.5244,0.8235,17,-3.0,-3.0,3.6114,0.7273,22,0.0,0.0,-3.8613,,,,,,0.6044,91,-3.0,-3.0,-1.3285,,,,,,0.6525,118,-3.0,-3.0,-1.4484,0.6667,15,-6.0,-6.0,1.771,0.6525,118,-3.0,-3.0,-1.5492,0.7273,22,-6.0,-6.0,2.8319,0.6957,46,3.0,6.0,-3.7187,0.6915,94,-6.0,-3.0,2.6328,0.7373,118,0.0,6.0,-2.9006,0.6061,33,-0.4,-0.4,1.4255,0.85,20,-2.0,-1.6,-1.1853,,,,,,0.7826,46,-2.0,-1.2,-1.3742,,,,,,0.7368,57,-1.6,-0.8,-1.5143,,,,,,0.6296,27,-0.8,-0.8,-1.7065,0.7059,17,-1.2,-1.2,3.2225,0.6615,65,0.0,0.8,-1.7156,,,,,,,,,,,,,,,,0.6772,127,-3.0,-3.0,-1.3728,,,,,,0.6581,117,-3.0,-3.0,-1.4886,,,,,,0.6,105,-3.0,-3.0,-1.6432,,,,,,0.622,127,0.0,0.0,-3.1304,0.6011,1.2229
AAMI,IBIT,1,61,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7895,19,0.0,0.0,1.6393,,,,,,0.6538,26,-3.0,0.0,1.8753,,,,,,,,,,,,,,,,,,,,,,,,,,0.3981,0.1952
AAOG,QQQ,42,55,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,12,-3.0,-3.0,-2.5138,,,,,,0.7333,15,-3.0,-3.0,-3.5845,,,,,,,,,,,,,,,,,,,,,0.7,20,-3.0,-3.0,15.935,,,,,,0.6071,28,9.0,12.0,4.8247,0.7805,41,-3.0,0.0,-6.1725,0.8333,12,30.0,30.0,6.721,0.7273,55,0.0,6.0,-9.4362,0.7273,11,9.0,9.0,11.4412,0.6727,55,0.0,6.0,-10.2849,0.625,16,-12.0,-12.0,11.91,0.6935,62,-3.0,6.0,-11.2098,,,,,,0.8,10,30.0,30.0,-28.5062,,,,,,0.6667,12,20.0,20.0,-14.23,,,,,,,,,,,,,,,,0.7,10,20.0,20.0,-19.9143,,,,,,0.9,10,20.0,20.0,-15.7644,,,,,,0.7273,11,20.0,20.0,-35.315,,,,,,0.6014,148,-3.0,-3.0,-4.949,0.7143,14,3.0,3.0,8.031,,,,,,,,,,,0.6,135,-3.0,-3.0,-7.528,,,,,,0.6154,13,3.0,3.0,-23.2088,,,,,,0.7037,54,0.0,0.0,-20.1505,0.7133,5.0093
AAOI,SOXX,46,61,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,10,-3.0,-3.0,4.3633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6429,14,0.0,0.0,1.8289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6058,104,-6.0,-6.0,2.9714,0.614,57,-9.0,-9.0,-2.886,0.6364,99,-6.0,-6.0,3.9121,0.6641,131,0.0,0.0,-4.1679,0.6526,95,-6.0,-6.0,4.9511,0.6422,109,0.0,0.0,-5.4974,0.7895,38,-15.0,-12.0,9.705,0.6369,168,0.0,3.0,-5.901,0.7939,131,-15.0,-6.0,7.9649,0.7388,134,3.0,15.0,-8.8056,0.75,16,1.6,1.6,2.7358,,,,,,0.6618,68,-2.8,-2.0,2.7522,0.6,95,0.0,0.0,-4.2158,0.6604,53,-2.4,-2.0,3.4043,0.6296,81,0.0,0.0,-5.489,0.6585,41,-2.4,-2.0,6.3496,0.6577,111,0.0,0.4,-6.4167,0.8065,124,-2.4,-0.8,7.2897,0.7048,105,0.4,1.6,-7.222,0.6522,23,6.0,6.0,2.3287,0.6429,14,-9.0,-9.0,-3.7178,0.622,127,3.0,6.0,3.1066,0.75,16,-9.0,-9.0,-4.0825,0.6818,22,6.0,6.0,3.73,0.7333,15,-9.0,-9.0,-5.6964,,,,,,,,,,,0.7576,66,-9.0,-6.0,8.752,0.6667,15,6.0,6.0,-14.774,0.821,0.8762
AAON,QQQ,7,61,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6842,19,3.0,3.0,-1.6008,,,,,,0.65,20,3.0,3.0,-1.6015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,21,0.0,0.4,1.3457,,,,,,0.7,10,0.0,0.0,1.3914,0.6429,14,0.8,0.8,-1.1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619,21,0.0,0.0,3.8823,0.6429,28,-3.0,-3.0,-2.7906,,,,,,,,,,,,,,,,,,,,,0.824,1.5553
AAOX,QQQ,49,61,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6316,19,0.0,0.0,2.0992,,,,,,,,,,,0.6818,22,-3.0,-3.0,-3.7193,0.6364,11,0.0,0.0,3.5971,,,,,,0.7143,21,-3.0,-3.0,12.9253,0.7647,17,0.0,0.0,-17.5185,0.7391,23,-3.0,-3.0,14.4994,0.7059,17,0.0,0.0,-22.355,0.6557,61,-9.0,-9.0,6.2862,0.6429,70,0.0,0.0,-5.6556,0.625,64,-9.0,-9.0,7.5785,0.6806,191,0.0,6.0,-7.9063,0.6458,48,-9.0,-9.0,8.5452,0.6859,156,0.0,6.0,-10.3688,0.6543,81,-12.0,-9.0,12.6842,0.7122,139,0.0,6.0,-11.4092,0.7886,123,-24.0,-9.0,13.9578,0.6933,75,3.0,6.0,-11.2925,0.7308,26,-5.2,-4.8,5.6232,0.6,45,20.0,20.0,-16.4444,0.75,12,-5.2,-5.2,6.6944,0.7222,126,0.0,2.8,-7.903,0.6471,34,-4.8,-4.0,8.8345,0.7105,76,1.6,3.6,-10.4981,0.7727,22,-4.8,-4.4,11.8459,0.6986,73,1.2,3.2,-12.1304,0.7692,13,0.4,0.4,11.428,0.8095,21,20.0,20.0,-38.6588,,,,,,,,,,,,,,,,0.6,25,3.0,3.0,-16.6267,,,,,,,,,,,,,,,,0.65,20,3.0,3.0,-25.8969,,,,,,0.8462,13,3.0,3.0,-26.3091,0.7226,4.8536
