ticker,bench,events_total,days_with_entry,advanced_events_total,stack_10m_best_long_rate,stack_10m_best_long_total,stack_10m_best_long_lo,stack_10m_best_long_hi,stack_10m_best_long_avg_move,stack_10m_best_short_rate,stack_10m_best_short_total,stack_10m_best_short_lo,stack_10m_best_short_hi,stack_10m_best_short_avg_move,stack_30m_best_long_rate,stack_30m_best_long_total,stack_30m_best_long_lo,stack_30m_best_long_hi,stack_30m_best_long_avg_move,stack_30m_best_short_rate,stack_30m_best_short_total,stack_30m_best_short_lo,stack_30m_best_short_hi,stack_30m_best_short_avg_move,devsig_10m_best_long_rate,devsig_10m_best_long_total,devsig_10m_best_long_lo,devsig_10m_best_long_hi,devsig_10m_best_long_avg_move,devsig_10m_best_short_rate,devsig_10m_best_short_total,devsig_10m_best_short_lo,devsig_10m_best_short_hi,devsig_10m_best_short_avg_move,devsig_30m_best_long_rate,devsig_30m_best_long_total,devsig_30m_best_long_lo,devsig_30m_best_long_hi,devsig_30m_best_long_avg_move,devsig_30m_best_short_rate,devsig_30m_best_short_total,devsig_30m_best_short_lo,devsig_30m_best_short_hi,devsig_30m_best_short_avg_move,bench_10m_best_long_rate,bench_10m_best_long_total,bench_10m_best_long_lo,bench_10m_best_long_hi,bench_10m_best_long_avg_move,bench_10m_best_short_rate,bench_10m_best_short_total,bench_10m_best_short_lo,bench_10m_best_short_hi,bench_10m_best_short_avg_move,bench_30m_best_long_rate,bench_30m_best_long_total,bench_30m_best_long_lo,bench_30m_best_long_hi,bench_30m_best_long_avg_move,bench_30m_best_short_rate,bench_30m_best_short_total,bench_30m_best_short_lo,bench_30m_best_short_hi,bench_30m_best_short_avg_move,adv_stack_10m_best_long_rate,adv_stack_10m_best_long_total,adv_stack_10m_best_long_lo,adv_stack_10m_best_long_hi,adv_stack_10m_best_long_avg_move,adv_stack_10m_best_short_rate,adv_stack_10m_best_short_total,adv_stack_10m_best_short_lo,adv_stack_10m_best_short_hi,adv_stack_10m_best_short_avg_move,adv_stack_30m_best_long_rate,adv_stack_30m_best_long_total,adv_stack_30m_best_long_lo,adv_stack_30m_best_long_hi,adv_stack_30m_best_long_avg_move,adv_stack_30m_best_short_rate,adv_stack_30m_best_short_total,adv_stack_30m_best_short_lo,adv_stack_30m_best_short_hi,adv_stack_30m_best_short_avg_move,adv_devsig_10m_best_long_rate,adv_devsig_10m_best_long_total,adv_devsig_10m_best_long_lo,adv_devsig_10m_best_long_hi,adv_devsig_10m_best_long_avg_move,adv_devsig_10m_best_short_rate,adv_devsig_10m_best_short_total,adv_devsig_10m_best_short_lo,adv_devsig_10m_best_short_hi,adv_devsig_10m_best_short_avg_move,adv_devsig_30m_best_long_rate,adv_devsig_30m_best_long_total,adv_devsig_30m_best_long_lo,adv_devsig_30m_best_long_hi,adv_devsig_30m_best_long_avg_move,adv_devsig_30m_best_short_rate,adv_devsig_30m_best_short_total,adv_devsig_30m_best_short_lo,adv_devsig_30m_best_short_hi,adv_devsig_30m_best_short_avg_move,adv_bench_10m_best_long_rate,adv_bench_10m_best_long_total,adv_bench_10m_best_long_lo,adv_bench_10m_best_long_hi,adv_bench_10m_best_long_avg_move,adv_bench_10m_best_short_rate,adv_bench_10m_best_short_total,adv_bench_10m_best_short_lo,adv_bench_10m_best_short_hi,adv_bench_10m_best_short_avg_move,adv_bench_30m_best_long_rate,adv_bench_30m_best_long_total,adv_bench_30m_best_long_lo,adv_bench_30m_best_long_hi,adv_bench_30m_best_long_avg_move,adv_bench_30m_best_short_rate,adv_bench_30m_best_short_total,adv_bench_30m_best_short_lo,adv_bench_30m_best_short_hi,adv_bench_30m_best_short_avg_move,corr,beta
A,XLV,10,10,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6364,11,-3.0,-3.0,0.1986,0.6176,34,-2.0,-2.0,-0.1805,,,,,,0.6667,60,0.0,0.0,-0.242,,,,,,,,,,,,,,,,,,,,,,,,,,0.6111,18,2.0,2.0,-0.2091,,,,,,0.7059,17,2.0,2.0,-0.3008,0.5489,0.6758
AA,GDX,40,40,285,,,,,,0.6,20,-1.0,0.0,-1.085,,,,,,0.6,10,-1.0,-1.0,-1.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6452,31,1.0,1.0,0.2495,0.8182,11,3.0,3.0,-0.4378,0.625,24,2.0,2.0,0.4127,0.7273,11,3.0,3.0,-0.5513,,,,,,,,,,,,,,,,,,,,,0.7778,27,1.0,1.0,0.2614,0.6471,17,3.0,3.0,-0.2309,0.6667,21,0.0,0.0,0.6007,0.6471,17,3.0,3.0,-0.3273,0.4317,0.3415
AAAU,IWM,34,34,234,0.6364,11,0.0,0.0,0.3386,0.6,10,-1.0,-1.0,-0.2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,16,0.0,0.0,0.243,0.7,10,-1.0,-1.0,-0.3486,,,,,,,,,,,,,,,,0.7,10,-4.0,-4.0,-0.0843,0.6429,14,-3.0,-3.0,0.1933,0.6757,37,-2.0,-2.0,-0.2176,,,,,,,,,,,,,,,,,,,,,0.65,20,-2.0,-2.0,0.1531,0.6337,101,0.0,1.0,-0.1291,,,,,,0.7,10,-3.0,-3.0,-0.1743,0.5524,0.8448
AADX,XLI,17,20,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,27,-2.0,-1.0,0.5144,0.6429,14,0.0,0.0,-0.3478,0.7143,14,-1.0,-1.0,0.901,0.6667,15,0.0,0.0,-0.999,,,,,,,,,,,,,,,,,,,,,0.6316,38,0.0,0.0,0.6383,0.6875,16,-1.0,-1.0,-0.4564,,,,,,0.7895,19,-1.0,-1.0,-0.842,0.6724,0.9099
AAL,XTN,40,40,396,0.8333,12,0.0,0.0,0.926,,,,,,0.75,12,0.0,0.0,1.3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,75,-3.0,-2.0,-0.178,0.6667,21,2.0,2.0,0.4457,0.6545,55,1.0,1.0,-0.4953,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,30,0.0,1.0,-0.2638,0.6316,19,0.0,0.0,0.3167,,,,,,0.7985,1.5571
AAOG,IWM,38,39,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6471,17,0.0,0.0,-6.5764,0.6364,11,-1.0,-1.0,7.92,,,,,,,,,,,,,,,,0.6471,17,15.0,15.0,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,12,-2.0,-2.0,-1.9538,0.6552,29,1.0,1.0,2.7484,,,,,,0.6857,7.0906
AAOI,SOXX,40,40,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7619,21,4.0,4.0,0.5413,0.6579,38,-4.0,-4.0,-0.4252,0.6774,31,-7.0,-7.0,1.239,0.7692,13,7.0,7.0,-0.948,,,,,,,,,,,,,,,,,,,,,0.7436,39,4.0,4.0,0.689,0.6486,37,-2.0,-2.0,-0.8175,0.6,15,-6.0,-6.0,0.85,0.8125,16,5.0,5.0,-1.0685,0.722,0.8439
AAON,QQQ,13,15,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6923,13,-3.0,-3.0,0.31,0.6154,39,-2.0,-1.0,-0.3279,0.7692,13,-3.0,-3.0,0.595,0.65,40,-2.0,-1.0,-0.6346,,,,,,,,,,,,,,,,,,,,,0.6,20,-2.0,-2.0,0.3417,,,,,,,,,,,0.64,50,-1.0,-1.0,-0.6078,0.9004,1.8305
AAOX,QQQ,40,40,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9286,14,0.0,0.0,-7.6762,,,,,,0.8571,14,0.0,0.0,-8.9958,0.8667,15,8.0,8.0,0.9154,0.6053,76,-15.0,-15.0,-0.9635,0.6364,33,1.0,2.0,1.7457,0.6222,45,3.0,4.0,-1.8311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,-4.0,-4.0,1.3433,,,,,,0.6874,4.8436
AAPD,QQQ,36,36,195,,,,,,0.6452,31,-1.0,0.0,-0.862,,,,,,0.6875,32,-1.0,0.0,-0.87,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,12,0.0,0.0,-0.7544,,,,,,0.6667,12,0.0,0.0,-0.8875,,,,,,0.675,40,-3.0,-2.0,-0.1596,,,,,,0.6458,48,0.0,1.0,-0.2352,,,,,,,,,,,,,,,,,,,,,,,,,,0.6129,62,-2.0,-1.0,-0.1653,,,,,,0.6618,68,0.0,1.0,-0.3018,0.0282,0.0133
