ticker_a,ticker_b,bench,PRE_total,PRE_converged,PRE_unresolved,PRE_hard,PRE_soft,PRE_rate,PRE_rate_lb,PRE_wins,PRE_win_rate,PRE_win_rate_lb,PRE_alpha,PRE_alpha_z,PRE_sigma,PRE_sigma_rate,PRE_sigma_n,PRE_gamma,PRE_gamma_rate,PRE_gamma_n,PRE_gamma_cap,PRE_avg_peak,PRE_p90_peak,PRE_median_bars,PRE_cap_mean,PRE_cap_p50,PRE_cap_p10,PRE_cap_lb,PRE_cap_conv_mean,PRE_conv_per_day,PRE_total_per_day,PRE_score,PRE_long_total,PRE_long_rate,PRE_long_alpha,PRE_short_total,PRE_short_rate,PRE_short_alpha,PRE_alpha_pos,PRE_alpha_neg,PRE_sigma_pos,PRE_sigma_rate_pos,PRE_sigma_n_pos,PRE_sigma_neg,PRE_sigma_rate_neg,PRE_sigma_n_neg,PRE_gamma_pos,PRE_gamma_rate_pos,PRE_gamma_n_pos,PRE_gamma_cap_pos,PRE_gamma_neg,PRE_gamma_rate_neg,PRE_gamma_n_neg,PRE_gamma_cap_neg,PRE_corr,PRE_beta,PRE_alpha_ols,PRE_resid_std,PRE_mr_lambda,PRE_half_life,PRE_beta_drift,PRE_adf_t,PRE_adf_p,PRE_adf_stationary_5pct,PRE_n_bars,PRE_n_days,OPEN_total,OPEN_converged,OPEN_unresolved,OPEN_hard,OPEN_soft,OPEN_rate,OPEN_rate_lb,OPEN_wins,OPEN_win_rate,OPEN_win_rate_lb,OPEN_alpha,OPEN_alpha_z,OPEN_sigma,OPEN_sigma_rate,OPEN_sigma_n,OPEN_gamma,OPEN_gamma_rate,OPEN_gamma_n,OPEN_gamma_cap,OPEN_avg_peak,OPEN_p90_peak,OPEN_median_bars,OPEN_cap_mean,OPEN_cap_p50,OPEN_cap_p10,OPEN_cap_lb,OPEN_cap_conv_mean,OPEN_conv_per_day,OPEN_total_per_day,OPEN_score,OPEN_long_total,OPEN_long_rate,OPEN_long_alpha,OPEN_short_total,OPEN_short_rate,OPEN_short_alpha,OPEN_alpha_pos,OPEN_alpha_neg,OPEN_sigma_pos,OPEN_sigma_rate_pos,OPEN_sigma_n_pos,OPEN_sigma_neg,OPEN_sigma_rate_neg,OPEN_sigma_n_neg,OPEN_gamma_pos,OPEN_gamma_rate_pos,OPEN_gamma_n_pos,OPEN_gamma_cap_pos,OPEN_gamma_neg,OPEN_gamma_rate_neg,OPEN_gamma_n_neg,OPEN_gamma_cap_neg,OPEN_corr,OPEN_beta,OPEN_alpha_ols,OPEN_resid_std,OPEN_mr_lambda,OPEN_half_life,OPEN_beta_drift,OPEN_adf_t,OPEN_adf_p,OPEN_adf_stationary_5pct,OPEN_n_bars,OPEN_n_days,INTRA_total,INTRA_converged,INTRA_unresolved,INTRA_hard,INTRA_soft,INTRA_rate,INTRA_rate_lb,INTRA_wins,INTRA_win_rate,INTRA_win_rate_lb,INTRA_alpha,INTRA_alpha_z,INTRA_sigma,INTRA_sigma_rate,INTRA_sigma_n,INTRA_gamma,INTRA_gamma_rate,INTRA_gamma_n,INTRA_gamma_cap,INTRA_avg_peak,INTRA_p90_peak,INTRA_median_bars,INTRA_cap_mean,INTRA_cap_p50,INTRA_cap_p10,INTRA_cap_lb,INTRA_cap_conv_mean,INTRA_conv_per_day,INTRA_total_per_day,INTRA_score,INTRA_long_total,INTRA_long_rate,INTRA_long_alpha,INTRA_short_total,INTRA_short_rate,INTRA_short_alpha,INTRA_alpha_pos,INTRA_alpha_neg,INTRA_sigma_pos,INTRA_sigma_rate_pos,INTRA_sigma_n_pos,INTRA_sigma_neg,INTRA_sigma_rate_neg,INTRA_sigma_n_neg,INTRA_gamma_pos,INTRA_gamma_rate_pos,INTRA_gamma_n_pos,INTRA_gamma_cap_pos,INTRA_gamma_neg,INTRA_gamma_rate_neg,INTRA_gamma_n_neg,INTRA_gamma_cap_neg,INTRA_corr,INTRA_beta,INTRA_alpha_ols,INTRA_resid_std,INTRA_mr_lambda,INTRA_half_life,INTRA_beta_drift,INTRA_adf_t,INTRA_adf_p,INTRA_adf_stationary_5pct,INTRA_n_bars,INTRA_n_days
FOX,ROKU,ARKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.206543,1.0,1.0,0.206543,4.380813,5.331305,,,0.0,,,0.0,,4.380813,4.380813,34.0,1.410939,1.410939,1.410939,,1.410939,0.017544,0.017544,0.017544,1.0,1.0,4.380813,0.0,,,4.380813,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.734026,2.40009,-0.119439,0.821715,-0.080837,8.223149,0.069445,,,,1618.0,57.0,20,17,3,5,12,0.85,0.639577,12,0.6,0.386578,1.221118,1.376601,,,0,,,0,,1.641647,2.523263,279.0,0.10681,0.307985,-0.692782,-0.205386,0.205828,0.298246,0.350877,0.298246,12,0.75,1.186592,8,1.0,1.238789,1.186592,1.238789,,,0,,,0,,,0,,,,0,,0.820777,2.291433,-0.177322,0.887053,-0.002709,255.512398,0.191967,,,,18958,57
FOXA,ROKU,ARKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,2.0,1.0,0.342372,2.0,1.0,0.342372,2.943625,3.794214,,,0.0,,,0.0,,2.943625,4.124439,18.5,1.200259,1.200259,1.041554,0.811432,1.200259,0.035088,0.035088,0.035088,2.0,1.0,2.943625,0.0,,,2.943625,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.74235,2.438303,-0.093301,0.775819,-0.089826,7.364503,0.031275,,,,1768.0,57.0,14,12,2,1,11,0.857143,0.600581,10,0.714286,0.453505,1.258656,1.652937,,,0,,,0,,1.606426,2.12681,278.0,0.127993,0.168551,-0.33133,-0.068235,0.112812,0.210526,0.245614,0.210526,8,1.0,1.461491,6,0.6667,1.258656,1.461491,1.258656,,,0,,,0,,,0,,,,0,,0.874286,2.353366,-0.144207,0.761466,-0.003174,218.038035,0.18321,,,,20870,57
FOX,FOXA,ARKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,0,3,0.75,0.300636,4,1.0,0.5101,1.227657,3.60271,,,0,,,0,,1.226846,1.404294,239.0,0.31704,0.390787,0.103084,0.105164,0.26427,0.052632,0.070175,0.052632,1,0.0,,3,1.0,1.227657,,1.227657,,,0,,,0,,,0,,,,0,,0.923209,0.984956,-0.030714,0.340759,-0.011287,61.064733,0.000355,,,,19309,57
DNN,UUUU,COPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,15.0,3.0,3.0,12.0,0.833333,0.607775,12.0,0.666667,0.437491,1.785904,1.325886,,,0.0,,,0.0,,1.92707,2.670124,31.0,0.459887,0.239801,-0.624512,-0.052744,0.368176,0.254237,0.305085,0.254237,8.0,0.75,1.894325,10.0,0.9,1.686921,1.894325,1.686921,,,0.0,,,0.0,,,0.0,,,,0.0,,0.77223,0.729779,-0.000425,1.346951,-0.025615,26.712249,0.181784,,,,2114.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERO,HBM,COPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,59.0,11.0,24.0,35.0,0.842857,0.740115,37.0,0.528571,0.413217,1.910791,1.066977,,,0.0,,,0.0,,2.233714,3.797091,172.0,-0.041505,0.193349,-1.853335,-0.34446,0.116645,0.921875,1.09375,0.921875,35.0,0.7714,1.818503,35.0,0.9143,2.007856,1.818503,2.007856,,,0.0,2.6,1.0,5.0,,,0.0,,,,0.0,,0.70499,0.903436,0.164157,1.790846,-0.000979,707.453997,0.397003,,,,21642.0,64.0
MU,SKHY,DRAM,78,64,14,40,24,0.820513,0.720974,56,0.717949,0.609689,1.25756,0.595729,2.0,0.75,8,,,0,,1.770629,3.330682,181.5,0.459721,0.455796,-0.950539,0.209721,0.667945,1.333333,1.625,1.333333,37,0.8919,1.443713,41,0.7561,0.886676,1.443713,0.886676,0.7,0.944444,18,,,0,,,0,,,,0,,0.865276,0.722851,0.318801,2.110959,-0.001466,472.323789,0.106756,,,,28244,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCX,SCCO,FCX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,43,6,14,29,0.877551,0.757553,36,0.734694,0.597374,1.638416,1.651597,,,0,,,0,,1.60859,2.293578,178.0,0.367276,0.57878,-0.730292,0.144938,0.486908,0.693548,0.790323,0.693548,23,0.8696,1.674861,26,0.8846,1.533562,1.674861,1.533562,,,0,1.0,0.863636,22,,,0,,,,0,,0.744997,0.959955,-0.161464,0.992019,-0.004149,166.7024,0.072303,,,,20962,62
AEM,B,GDX,23.0,17.0,6.0,1.0,16.0,0.73913,0.535296,11.0,0.478261,0.292369,1.122446,0.682806,,,0.0,,,0.0,,1.545112,2.622579,16.0,-0.131829,-0.074405,-1.004505,-0.378146,0.026321,0.269841,0.365079,0.269841,10.0,0.8,0.867566,13.0,0.6923,1.271103,0.867566,1.271103,,,0.0,,,0.0,,,0.0,,,,0.0,,0.775267,0.763589,0.275115,1.643872,-0.001131,612.560399,0.447819,,,,1042.0,63.0,15.0,13.0,2.0,3.0,10.0,0.866667,0.621175,10.0,0.666667,0.417131,1.107984,0.798037,,,0.0,,,0.0,,2.017659,4.998661,26.0,0.359171,0.614487,-1.061543,-0.134541,0.56141,0.213115,0.245902,0.213115,8.0,0.875,1.123613,7.0,0.8571,0.966451,1.123613,0.966451,,,0.0,,,0.0,,,0.0,,,,0.0,,0.744462,0.814098,0.122819,1.388386,-0.009935,69.420552,0.035425,,,,2139.0,61.0,38.0,27.0,11.0,6.0,21.0,0.710526,0.552426,22.0,0.578947,0.421921,1.46689,0.969588,,,0.0,,,0.0,,2.095769,3.9172,267.0,0.086554,0.113503,-0.814646,-0.172807,0.094486,0.442623,0.622951,0.442623,22.0,0.6364,1.776321,16.0,0.8125,1.323627,1.776321,1.323627,,,0.0,,,0.0,,,0.0,,,,0.0,,0.819355,0.889522,0.029108,1.5129,-0.000528,1313.527065,0.116944,,,,22643.0,61.0
AEM,EQX,GDX,13.0,10.0,3.0,1.0,9.0,0.769231,0.497431,8.0,0.615385,0.355225,1.137915,0.860836,,,0.0,,,0.0,,1.672866,2.70314,8.0,0.298443,0.260611,-0.582216,-0.373577,0.316737,0.15625,0.203125,0.15625,6.0,0.6667,1.178111,7.0,0.8571,0.718469,1.178111,0.718469,,,0.0,,,0.0,,,0.0,,,,0.0,,0.714119,0.757581,-0.014292,1.321873,-0.021563,31.796983,0.183152,,,,734.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,37.0,14.0,15.0,22.0,0.72549,0.590531,28.0,0.54902,0.413845,1.562011,1.184276,,,0.0,,,0.0,,1.917353,3.220673,255.0,0.160338,0.169442,-0.931122,-0.087337,0.376651,0.578125,0.796875,0.578125,23.0,0.7826,1.599552,28.0,0.6786,1.500254,1.599552,1.500254,,,0.0,,,0.0,,,0.0,,,,0.0,,0.741778,0.768157,0.105988,1.318959,-0.001387,499.395708,0.029004,,,,23749.0,64.0
AEM,EXK,GDX,12.0,8.0,4.0,1.0,7.0,0.666667,0.390618,6.0,0.5,0.253778,1.292877,0.891256,,,0.0,,,0.0,,2.015327,3.723952,8.0,0.129913,0.045108,-0.932286,-0.281418,0.310133,0.126984,0.190476,0.126984,5.0,0.6,0.976246,7.0,0.7143,1.341383,0.976246,1.341383,,,0.0,,,0.0,,,0.0,,,,0.0,,0.700294,0.650415,0.0706,1.450624,-0.045664,14.829998,0.033358,,,,685.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,35.0,21.0,12.0,23.0,0.625,0.494051,26.0,0.464286,0.340196,1.850797,1.056343,,,0.0,,,0.0,,2.399292,4.137827,296.0,-0.031416,-0.046781,-1.663026,-0.330138,0.213671,0.564516,0.903226,0.564516,29.0,0.6897,1.973964,27.0,0.5556,1.850797,1.973964,1.850797,,,0.0,,,0.0,,,0.0,,,,0.0,,0.7285,0.556119,-0.019521,1.75208,-0.000276,2507.283675,0.047013,,,,22868.0,62.0
