ticker,cls,sign,total,mean_pnl,median_pnl,wins,win_rate,win_rate_lb,pnl_lb,gamma,gamma_n,gamma_mean,gamma_rate,alpha,sigma
A,EXIT04,neg,4,2.4170146,2.2913637,4,1.0,0.5100999795960008,0.64412838835058,,,,,0.6948023041089376,
A,EXIT04,pos,2,2.1936767,2.1936767,2,1.0,0.3423719528896193,0.46472078323364285,,,,,0.10698861877123515,
A,EXIT07,neg,2,-0.9327053,-0.9327053,1,0.5,0.09452865480086611,-5.347909841537476,,,,,0.6948023041089376,
A,EXIT07,pos,2,4.0973835,4.0973835,2,1.0,0.3423719528896193,0.8367242908477786,,,,,0.10698861877123515,
A,EXIT18,neg,1,0.044275522,0.044275522,1,1.0,0.20654329147389294,,,,,,0.6948023041089376,
A,PRINT,neg,14,1.3751569,1.5500767,12,0.8571428571428571,0.600580922361363,0.5142565984525028,0.5,14.0,1.3751569986343384,0.8571428571428571,0.6948023041089376,
A,PRINT,pos,15,1.4662375,1.6575129,13,0.8666666666666667,0.6211750079348376,0.4667895895041383,0.5,15.0,1.4662376642227173,0.8666666666666667,0.10698861877123515,
AA,EXIT04,neg,21,2.979225,2.1660185,18,0.8571428571428571,0.6536350585077049,1.680822975897804,0.5,21.0,2.9792251586914062,0.8571428571428571,2.4165666445696843e-06,
AA,EXIT04,pos,12,2.9410083,2.665,11,0.9166666666666666,0.6461140782014047,1.4648912444772983,0.5,12.0,2.9410083293914795,0.9166666666666666,0.2771199643611908,
AA,EXIT07,neg,21,2.8149948,2.347794,17,0.8095238095238095,0.599990134607267,1.3648021855732209,0.5,21.0,2.8149945735931396,0.8095238095238095,2.4165666445696843e-06,
AA,EXIT07,pos,11,2.3177114,1.7927985,9,0.8181818181818182,0.5230138624217553,0.6352692198268286,0.5,11.0,2.317711353302002,0.8181818181818182,0.2771199643611908,
AA,EXIT18,neg,22,-0.091451146,0.11012709,14,0.6363636363636364,0.4295134934371804,-0.3949324100978664,,,,,2.4165666445696843e-06,
AA,EXIT18,pos,11,0.2894515,0.0718832,7,0.6363636363636364,0.35379677689163724,-0.09654348134366791,,,,,0.2771199643611908,
AA,EXIT21,neg,21,-0.04535114,-0.08170712,8,0.38095238095238093,0.20750767797982508,-0.431331703796631,,,,,2.4165666445696843e-06,
AA,EXIT21,pos,12,-0.21819474,-0.349796,3,0.25,0.08894003962896137,-0.5145539507557124,,,,,0.2771199643611908,
AA,PRINT,neg,22,2.5102,2.113488,17,0.7727272727272727,0.5655964393704065,0.9341880903243225,0.5,22.0,2.510200262069702,0.7727272727272727,2.4165666445696843e-06,
AA,PRINT,pos,12,2.9044302,2.7438233,10,0.8333333333333334,0.5519636426153274,1.2889975831433529,0.5,12.0,2.904430389404297,0.8333333333333334,0.2771199643611908,
AAAU,EXIT04,neg,14,1.762052,1.639887,12,0.8571428571428571,0.600580922361363,0.9756084336106603,0.5,14.0,1.7620519399642944,0.8571428571428571,1.39103764295578,
AAAU,EXIT04,pos,9,1.7399044,1.8184522,8,0.8888888888888888,0.5649937852319398,0.7548366997869476,0.5,9.0,1.7399044036865234,0.8888888888888888,0.10892350785434246,
AAAU,EXIT07,neg,8,1.136606,1.4423193,6,0.75,0.40926987910258916,0.22125350785400832,0.5,8.0,1.136605978012085,0.75,1.39103764295578,
AAAU,EXIT07,pos,10,1.3121511,1.3100085,9,0.9,0.5958436145024278,0.4322574406080283,0.5,10.0,1.3121511936187744,0.9,0.10892350785434246,
AAAU,EXIT18,neg,8,0.05610141,-0.08387506,2,0.25,0.07147768885802765,-0.20137051687909197,,,,,1.39103764295578,
AAAU,EXIT18,pos,7,-0.12915924,-0.16714358,2,0.2857142857142857,0.08221716570901548,-0.2759435947211698,,,,,0.10892350785434246,
AAAU,EXIT21,neg,10,0.0059266626,-0.030146778,5,0.5,0.2365895936154873,-0.4522247243919564,,,,,1.39103764295578,
AAAU,EXIT21,pos,10,0.008132723,0.042386383,6,0.6,0.3126695474501863,-0.31374646645312104,,,,,0.10892350785434246,
AAAU,PRINT,neg,15,1.617407,1.8398801,12,0.8,0.5481406466534955,0.6748977596752127,0.5,15.0,1.617406964302063,0.8,1.39103764295578,
AAAU,PRINT,pos,15,1.4371613,1.8803567,12,0.8,0.5481406466534955,0.5336019123158874,0.5,15.0,1.4371613264083862,0.8,0.10892350785434246,
AADX,EXIT04,neg,4,3.3943973,2.6962352,4,1.0,0.5100999795960008,1.4118633950675192,,,,,0.09947977587580681,
AADX,EXIT04,pos,7,7.6930876,7.897418,6,0.8571428571428571,0.4868654966809702,2.911853278843722,,,,,0.7179356614748637,
AADX,EXIT07,neg,6,5.8607535,5.780217,6,1.0,0.6096569663469354,2.7355343129392446,,,,,0.09947977587580681,
AADX,EXIT07,pos,9,4.6641026,0.85276693,6,0.6666666666666666,0.35419734749908977,0.10242261165680855,0.5,9.0,4.664102554321289,0.6666666666666666,0.7179356614748637,
AADX,EXIT18,neg,6,0.9944213,0.4634199,6,1.0,0.6096569663469354,0.0828794421868504,,,,,0.09947977587580681,
AADX,EXIT18,pos,8,-1.0865072,-0.8253707,1,0.125,0.02241690886329618,-2.045985214910595,,,,,0.7179356614748637,
AADX,EXIT21,neg,2,0.9183624,0.9183624,2,1.0,0.3423719528896193,-0.7779764461517331,,,,,0.09947977587580681,
AADX,EXIT21,pos,1,-2.11841,-2.11841,0,0.0,0.0,,,,,,0.7179356614748637,
AADX,PRINT,neg,12,5.445174,6.0791974,10,0.8333333333333334,0.5519636426153274,2.8633804868820647,0.5,12.0,5.445174694061279,0.8333333333333334,0.09947977587580681,
AADX,PRINT,pos,18,5.7455487,4.2859755,16,0.8888888888888888,0.6719975513339578,2.6021030201109707,0.5,18.0,5.745549201965332,0.8888888888888888,0.7179356614748637,
AAL,EXIT04,neg,15,3.3562486,3.0739298,15,1.0,0.7961107336956521,2.313365637288169,0.5,15.0,3.356248378753662,1.0,0.17996937781572342,
