ticker,lvl2,n_peers,mean_corr,median_corr,best_peer,best_corr,worst_peer,worst_corr
DOW,Materials,140,0.138633956610612,0.13909937298536534,LYB,0.9203160544309293,NAK,-0.5984123013155478
DQ,Renewable Energy,26,-0.024508670355445905,-0.059838362512761145,LSE,0.4994582099204171,FCEL,-0.6212793544726422
DSS,Materials,141,0.27665271570740446,0.28116370310712585,PRM,0.8080905107056425,NTR,-0.45558845303234596
ECL,Materials,140,-0.169522726199771,-0.19848129490791883,ICL,0.7532056511309618,GRO,-0.8092953540333617
ECVT,Materials,140,0.13164172876907052,0.137999714091713,FMST,0.6563299525502437,LIN,-0.5084069804230956
EGO,Materials,140,0.16316788182244804,0.17173055470644857,NEM,0.729380098828262,FNUC,-0.6699471834689185
ELBM,Materials,139,-0.03878986616491882,-0.041141582193642404,NXTS,0.8663596466145225,NC,-0.767702308628456
ELVA,Renewable Energy,26,-0.12596822027870128,-0.16516403862606763,HTOO,0.438547475607565,FF,-0.7383814710686633
EMN,Materials,140,0.07092054241001748,0.05654065232540727,MERC,0.7020710045515889,HSLV,-0.8903223554531922
ENPH,Renewable Energy,26,0.048167140401804504,-0.02063162315763563,FSLR,0.6379159708079059,FLUX,-0.5797402210641964
ENS,Renewable Energy,26,0.07072576177469782,0.10866737173598177,ENPH,0.5903335650100768,FGL,-0.47321126919597684
EOSE,Renewable Energy,26,0.22982726302798603,0.3369343850000057,NXT,0.6739548061449087,FF,-0.5207659746076361
EQX,Materials,140,-0.043474719147351557,-0.025844943201483235,NEWP,0.7363891975961956,OLN,-0.7806596958404013
ERO,Materials,140,-0.08566686792725421,-0.18453353242512383,GURE,0.7151873931920378,NXTS,-0.9073262678681382
ESI,Materials,140,0.16545868240392084,0.1963445556243789,KRO,0.7003119977522334,LUD,-0.5709726599694537
EU,Materials,140,0.2998292453379155,0.3502381112928799,IDR,0.8815600659637247,GPK,-0.766243240496709
EVGN,Materials,140,-0.06971913593619111,-0.06637798846460524,LUD,0.950143519139217,NWPX,-0.6434118137523929
EXK,Materials,140,0.1515931935119802,0.19854158021585555,LEU,0.711919425739463,GRO,-0.4868370065873221
EXP,Materials,140,0.06147432741342902,0.0493747118943,ELBM,0.7311822321830251,HSLV,-0.5981221791179976
FCEL,Renewable Energy,26,0.27116635397350036,0.3216113324472367,FLNC,0.8490228781972995,LSE,-0.44651401487426234
FCX,Materials,140,0.3186841304617604,0.33839704320456526,IE,0.9023259978804508,LZM,-0.4322150047116491
FEAM,Materials,139,0.2669052248056061,0.3127409824260573,KRT,0.7789484385558528,FRD,-0.445955036575445
FF,Renewable Energy,26,0.06349458299687129,0.10263811174477912,FCEL,0.5442777988358789,ELVA,-0.9157676145435173
FLNC,Renewable Energy,26,0.11916107454320124,0.15954584396797528,EOSE,0.8223061294947598,OPAL,-0.5744998300249202
FLUX,Renewable Energy,26,0.05304388607346961,0.028047289274202233,NEOV,0.6161719739442546,FCEL,-0.35263332965924626
FMC,Materials,140,0.1288187635572413,0.14160289482765523,LEU,0.6599931359907211,FRD,-0.7302822044742212
FNV,Materials,140,-0.019846488408816993,-0.0009406360852249297,PZG,0.696146926034046,HLP,-0.6558045270394967
FSI,Materials,140,0.36503413165137083,0.4385211000420438,NGVT,0.8322677704220003,IPX,-0.5787965332591278
FSLR,Renewable Energy,26,0.06096664547711856,0.08347441943354048,PBK,0.49787590156950773,LSE,-0.5548375558057252
FSM,Materials,144,0.07517605592702814,0.07529159342479538,ELE,0.8704857400638774,NGVT,-0.46333054029620563
FUL,Materials,140,-0.13952832314213306,-0.17805365023891648,NB,0.40703694981247784,GORO,-0.5725460330288838
GAU,Materials,140,0.07022162386518657,0.09769092397511922,LEU,0.8306412288682072,IPI,-0.8053576128658276
GEF,Materials,140,0.08961451492957907,0.09102566592048188,HSLV,0.8119346642441398,GRO,-0.4375655783054301
GEVO,Renewable Energy,26,0.024241704372750913,0.05909816809002679,NEOV,0.438237178525245,FLNC,-0.6281242555272819
GFI,Materials,140,0.009232612419003071,-0.006948223617084455,NG,0.6258165845149049,JHX,-0.7572133486475887
GGB,Materials,140,0.06846495146935962,0.13578117299432882,IP,0.852652199500281,GORO,-0.8974480573561
